Description,Field ID,Value
Group K · COL v POR · POR score,group65_away_score,
Group K · DRC v UZB · DRC score,group66_home_score,
Group K · DRC v UZB · UZB score,group66_away_score,
Group L · ENG v CRO · ENG score,group67_home_score,
Group L · ENG v CRO · CRO score,group67_away_score,
Group L · GHA v PAN · GHA score,group68_home_score,
Group L · GHA v PAN · PAN score,group68_away_score,
Group L · ENG v GHA · ENG score,group69_home_score,
Group L · ENG v GHA · GHA score,group69_away_score,
Group L · PAN v CRO · PAN score,group70_home_score,
Group L · PAN v CRO · CRO score,group70_away_score,
Group L · PAN v ENG · PAN score,group71_home_score,
Group L · PAN v ENG · ENG score,group71_away_score,
Group L · CRO v GHA · CRO score,group72_home_score,
Group L · CRO v GHA · GHA score,group72_away_score,
Semi-Final 2 · [QF3] team name,ko01_top_team,
Semi-Final 2 · [QF4] team name,ko01_bottom_team,
Semi-Final 2 · [QF3] score,ko01_top_score,
Semi-Final 2 · [QF4] score,ko01_bottom_score,
Quarter-Final 4 · [M7] team name,ko02_top_team,
Quarter-Final 4 · [M8] team name,ko02_bottom_team,
Quarter-Final 4 · [M7] score,ko02_top_score,
Quarter-Final 4 · [M8] score,ko02_bottom_score,
Quarter-Final 2 · [M3] team name,ko03_top_team,
Quarter-Final 2 · [M4] team name,ko03_bottom_team,
Quarter-Final 2 · [M3] score,ko03_top_score,
Quarter-Final 2 · [M4] score,ko03_bottom_score,
Semi-Final 1 · [QF1] team name,ko04_top_team,
Semi-Final 1 · [QF2] team name,ko04_bottom_team,
Semi-Final 1 · [QF1] score,ko04_top_score,
Semi-Final 1 · [QF2] score,ko04_bottom_score,
Round of 32 Match 9 · [1C] team name,ko05_top_team,
Round of 32 Match 9 · [2F] team name,ko05_bottom_team,
Round of 32 Match 9 · [1C] score,ko05_top_score,
Round of 32 Match 9 · [2F] score,ko05_bottom_score,
Match 10 · [2E] team name,ko06_top_team,
Match 10 · [2I] team name,ko06_bottom_team,
Match 10 · [2E] score,ko06_top_score,
Match 10 · [2I] score,ko06_bottom_score,
Match 11 · [1A] team name,ko07_top_team,
Match 11 · [3CE] team name,ko07_bottom_team,
Match 11 · [1A] score,ko07_top_score,
Match 11 · [3CE] score,ko07_bottom_score,
Match 12 · [1L] team name,ko08_top_team,
Match 12 · [IJK] team name,ko08_bottom_team,
Match 12 · [1L] score,ko08_top_score,
Match 12 · [IJK] score,ko08_bottom_score,
Match 13 · [1J] team name,ko09_top_team,
Match 13 · [2H] team name,ko09_bottom_team,
Match 13 · [1J] score,ko09_top_score,
Match 13 · [2H] score,ko09_bottom_score,
Match 14 · [2D] team name,ko10_top_team,
Match 14 · [2G] team name,ko10_bottom_team,
Match 14 · [2D] score,ko10_top_score,
Match 14 · [2G] score,ko10_bottom_score,
Match 15 · [1B] team name,ko11_top_team,
Match 15 · [3EF] team name,ko11_bottom_team,
Match 15 · [1B] score,ko11_top_score,
Match 15 · [3EF] score,ko11_bottom_score,
Match 16 · [1K] team name,ko12_top_team,
Match 16 · [3DE] team name,ko12_bottom_team,
Match 16 · [1K] score,ko12_top_score,
Match 16 · [3DE] score,ko12_bottom_score,
Round of 16 Match 5 · [M9] team name,ko13_top_team,
Round of 16 Match 5 · [M10] team name,ko13_bottom_team,
Round of 16 Match 5 · [M9] score,ko13_top_score,
Round of 16 Match 5 · [M10] score,ko13_bottom_score,
Match 6 · [M11] team name,ko14_top_team,
Match 6 · [M12] team name,ko14_bottom_team,
Match 6 · [M11] score,ko14_top_score,
Match 6 · [M12] score,ko14_bottom_score,
Match 7 · [M13] team name,ko15_top_team,
Match 7 · [M14] team name,ko15_bottom_team,
Match 7 · [M13] score,ko15_top_score,
Match 7 · [M14] score,ko15_bottom_score,
Match 8 · [M15] team name,ko16_top_team,
Match 8 · [M16] team name,ko16_bottom_team,
Match 8 · [M15] score,ko16_top_score,
Match 8 · [M16] score,ko16_bottom_score,
Quarter-Final 1 · [M1] team name,ko17_top_team,
Quarter-Final 1 · [M2] team name,ko17_bottom_team,
Quarter-Final 1 · [M1] score,ko17_top_score,
Quarter-Final 1 · [M2] score,ko17_bottom_score,
Quarter-Final 3 · [M5] team name,ko18_top_team,
Quarter-Final 3 · [M6] team name,ko18_bottom_team,
Quarter-Final 3 · [M5] score,ko18_top_score,
Quarter-Final 3 · [M6] score,ko18_bottom_score,
Final · top team name,ko19_top_team,
Final · bottom team name,ko19_bottom_team,
Final · top score,ko19_top_score,
Final · bottom score,ko19_bottom_score,
Round of 32 Match 1 · [1E] team name,ko20_top_team,
Round of 32 Match 1 · [CDF] team name,ko20_bottom_team,
Round of 32 Match 1 · [1E] score,ko20_top_score,
Round of 32 Match 1 · [CDF] score,ko20_bottom_score,
Match 2 · [1I] team name,ko21_top_team,
Match 2 · [FGH] team name,ko21_bottom_team,
Match 2 · [1I] score,ko21_top_score,
Match 2 · [FGH] score,ko21_bottom_score,
Match 3 · [2A] team name,ko22_top_team,
Match 3 · [2B] team name,ko22_bottom_team,
Match 3 · [2A] score,ko22_top_score,
Match 3 · [2B] score,ko22_bottom_score,
Match 4 · [1F] team name,ko23_top_team,
Match 4 · [2C] team name,ko23_bottom_team,
Match 4 · [1F] score,ko23_top_score,
Match 4 · [2C] score,ko23_bottom_score,
Match 5 · [2K] team name,ko24_top_team,
Match 5 · [2L] team name,ko24_bottom_team,
Match 5 · [2K] score,ko24_top_score,
Match 5 · [2L] score,ko24_bottom_score,
Match 6 · [1H] team name,ko25_top_team,
Match 6 · [2J] team name,ko25_bottom_team,
Match 6 · [1H] score,ko25_top_score,
Match 6 · [2J] score,ko25_bottom_score,
Match 7 · [1D] team name,ko26_top_team,
Match 7 · [FIJ] team name,ko26_bottom_team,
Match 7 · [1D] score,ko26_top_score,
Match 7 · [FIJ] score,ko26_bottom_score,
Match 8 · [1G] team name,ko27_top_team,
Match 8 · [HIJ] team name,ko27_bottom_team,
Match 8 · [1G] score,ko27_top_score,
Match 8 · [HIJ] score,ko27_bottom_score,
Third-Place Play-off · [SF1] team name,ko28_top_team,
Third-Place Play-off · [SF2] team name,ko28_bottom_team,
Third-Place Play-off · [SF1] score,ko28_top_score,
Third-Place Play-off · [SF2] score,ko28_bottom_score,
Round of 16 Match 1 · [M1] team name,ko29_top_team,
Round of 16 Match 1 · [M2] team name,ko29_bottom_team,
Round of 16 Match 1 · [M1] score,ko29_top_score,
Round of 16 Match 1 · [M2] score,ko29_bottom_score,
Match 2 · [M3] team name,ko30_top_team,
Match 2 · [M4] team name,ko30_bottom_team,
Match 2 · [M3] score,ko30_top_score,
Match 2 · [M4] score,ko30_bottom_score,
Match 3 · [M5] team name,ko31_top_team,
Match 3 · [M6] team name,ko31_bottom_team,
Match 3 · [M5] score,ko31_top_score,
Match 3 · [M6] score,ko31_bottom_score,
Match 4 · [M7] team name,ko32_top_team,
Match 4 · [M8] team name,ko32_bottom_team,
Match 4 · [M7] score,ko32_top_score,
Match 4 · [M8] score,ko32_bottom_score,
